Date,Price,Open,High,Low,Vol.,Change %,Label
01-02-09,15.2,14.69,15.25,14.47,52.24M,3.68%,0
01-05-09,14.91,15.07,15.29,14.81,57.34M,-1.91%,1
01-06-09,15.37,15.09,15.51,15.08,61.66M,3.09%,1
01-07-09,14.44,14.79,15.06,14.34,131.46M,-6.05%,1
01-08-09,14.55,14.45,14.57,14.25,63.10M,0.76%,1
01-09-09,14.15,14.59,14.6,14.02,45.55M,-2.75%,1
01-12-09,13.79,14.16,14.3,13.62,54.09M,-2.54%,1
01/13/2009,13.67,13.59,14.18,13.45,65.58M,-0.87%,1
01/14/2009,13.08,13.46,13.63,12.97,69.57M,-4.32%,0
01/15/2009,13.29,13.01,13.45,12.71,74.57M,1.61%,1
01/16/2009,13.74,13.88,13.96,13.27,83.99M,3.39%,1
01/20/2009,12.86,13.56,13.74,12.81,71.60M,-6.40%,0
01/21/2009,13.26,13.01,13.26,12.5,56.64M,3.11%,0
01/22/2009,12.82,12.83,13.07,12.55,72.70M,-3.32%,0
01/23/2009,13.12,12.85,13.39,12.58,63.16M,2.34%,0
01/26/2009,13.38,13.08,13.58,13.03,49.58M,1.98%,0
01/27/2009,13.81,13.51,13.95,13.5,45.63M,3.21%,1
01/28/2009,14.01,14.13,14.27,13.79,57.09M,1.45%,1
01/29/2009,13.37,13.85,13.85,13.31,51.38M,-4.57%,0
01/30/2009,12.9,13.45,13.5,12.9,47.01M,-3.52%,0
02-02-09,13.63,12.82,13.71,12.75,69.91M,5.66%,0
02-03-09,13.73,13.67,13.79,13.29,56.70M,0.73%,0
02-04-09,13.88,13.78,14.56,13.71,77.70M,1.09%,0
02-05-09,14.25,13.65,14.4,13.53,61.03M,2.67%,0
02-06-09,14.73,14.44,14.88,14.21,62.68M,3.37%,1
02-09-09,14.91,14.63,15.05,14.54,64.74M,1.22%,1
02-10-09,14.08,14.78,15.15,14.04,94.00M,-5.57%,0
02-11-09,14.08,14.26,14.32,13.73,57.38M,0.00%,0
02-12-09,14,13.81,14,13.49,76.37M,-0.57%,1
02/13/2009,13.88,13.91,14.26,13.85,55.96M,-0.86%,1
02/17/2009,13.21,13.56,13.73,13.21,60.69M,-4.83%,1
02/18/2009,13.36,13.32,13.7,13.09,51.31M,1.14%,1
