Date,Price,Open,High,Low,Vol.,Change %,Label
01-02-09,0.22,0.2,0.22,0.2,497.25M,10.00%,1
01-05-09,0.22,0.22,0.23,0.21,706.02M,0.00%,0
01-06-09,0.23,0.23,0.24,0.22,658.51M,4.55%,0
01-07-09,0.22,0.22,0.22,0.21,870.14M,-4.35%,0
01-08-09,0.21,0.21,0.21,0.2,1.01B,-4.55%,0
01-09-09,0.2,0.21,0.21,0.2,761.40M,-4.76%,0
01-12-09,0.19,0.2,0.2,0.19,645.58M,-5.00%,0
01/13/2009,0.19,0.18,0.2,0.18,1.82B,0.00%,0
01/14/2009,0.18,0.18,0.19,0.18,974.98M,-5.26%,1
01/15/2009,0.19,0.18,0.19,0.18,998.26M,5.56%,0
01/16/2009,0.2,0.19,0.2,0.19,831.32M,5.26%,0
01/20/2009,0.18,0.2,0.2,0.18,705.98M,-10.00%,1
01/21/2009,0.19,0.18,0.19,0.18,648.73M,5.56%,0
01/22/2009,0.19,0.18,0.19,0.18,547.73M,0.00%,1
01/23/2009,0.19,0.18,0.2,0.18,633.61M,0.00%,1
01/26/2009,0.2,0.19,0.21,0.19,581.81M,5.26%,1
01/27/2009,0.21,0.2,0.21,0.2,725.36M,5.00%,0
01/28/2009,0.22,0.22,0.22,0.21,723.79M,4.76%,0
01/29/2009,0.21,0.21,0.21,0.21,413.16M,-4.55%,0
01/30/2009,0.2,0.21,0.21,0.2,506.76M,-4.76%,1
02-02-09,0.21,0.2,0.21,0.19,578.04M,5.00%,1
02-03-09,0.21,0.21,0.21,0.2,396.95M,0.00%,1
02-04-09,0.22,0.21,0.23,0.21,779.44M,4.76%,1
02-05-09,0.23,0.21,0.24,0.21,919.45M,4.55%,1
02-06-09,0.25,0.23,0.25,0.23,1.16B,8.70%,0
02-09-09,0.24,0.25,0.25,0.24,716.17M,-4.00%,0
02-10-09,0.23,0.24,0.25,0.23,1.13B,-4.17%,0
02-11-09,0.2,0.21,0.22,0.2,1.98B,-13.04%,1
02-12-09,0.21,0.2,0.21,0.2,1.02B,5.00%,0
02/13/2009,0.21,0.2,0.21,0.2,764.31M,0.00%,0
02/17/2009,0.2,0.2,0.2,0.2,779.77M,-4.76%,0
02/18/2009,0.2,0.2,0.21,0.2,646.29M,0.00%,0
02/19/2009,0.19,0.2,0.21,0.19,744.07M,-5.00%,0
02/20/2009,0.19,0.18,0.19,0.18,770.05M,0.00%,1
02/23/2009,0.18,0.19,0.19,0.18,679.59M,-5.26%,1
02/24/2009,0.2,0.18,0.2,0.18,659.52M,11.11%,1
02/25/2009,0.2,0.2,0.21,0.19,702.37M,0.00%,1
02/26/2009,0.21,0.21,0.21,0.2,1.12B,5.00%,0
02/27/2009,0.21,0.2,0.21,0.2,755.46M,0.00%,0
03-02-09,0.19,0.2,0.21,0.19,700.06M,-9.52%,1
03-03-09,0.2,0.19,0.2,0.19,1.04B,5.26%,1
03-04-09,0.21,0.2,0.22,0.2,1.11B,5.00%,0
03-05-09,0.21,0.21,0.22,0.21,955.25M,0.00%,0
03-06-09,0.21,0.21,0.22,0.2,974.80M,0.00%,1
03-09-09,0.21,0.21,0.22,0.21,682.77M,0.00%,1
03-10-09,0.23,0.21,0.23,0.21,1.25B,9.52%,1
03-11-09,0.23,0.23,0.3,0.22,865.21M,0.00%,1
03-12-09,0.25,0.23,0.25,0.23,1.60B,8.70%,0
03/13/2009,0.24,0.24,0.25,0.24,1.20B,-4.00%,1
03/16/2009,0.24,0.25,0.25,0.23,699.41M,0.00%,1
03/17/2009,0.25,0.24,0.25,0.23,1.01B,4.17%,0
03/18/2009,0.26,0.24,0.26,0.24,1.36B,4.00%,0
03/19/2009,0.25,0.26,0.26,0.25,822.65M,-3.85%,1
03/20/2009,0.24,0.26,0.26,0.23,1.09B,-4.00%,0
03/23/2009,0.26,0.25,0.26,0.24,816.19M,8.33%,0
03/24/2009,0.24,0.25,0.25,0.24,1.11B,-7.69%,1
03/25/2009,0.25,0.25,0.26,0.24,1.24B,4.17%,1
03/26/2009,0.26,0.25,0.26,0.25,1.33B,4.00%,0
03/27/2009,0.26,0.26,0.27,0.26,731.90M,0.00%,0
03/30/2009,0.24,0.25,0.25,0.24,780.21M,-7.69%,1
03/31/2009,0.25,0.25,0.25,0.24,805.29M,4.17%,1
04-01-09,0.25,0.24,0.26,0.23,888.10M,0.00%,1
04-02-09,0.26,0.26,0.27,0.26,1.00B,4.00%,1
04-03-09,0.28,0.26,0.28,0.26,1.00B,7.69%,0
04-06-09,0.28,0.28,0.29,0.27,887.49M,0.00%,1
04-07-09,0.27,0.28,0.28,0.27,607.99M,-3.57%,1
04-08-09,0.29,0.28,0.29,0.27,731.86M,7.41%,0
04-09-09,0.3,0.29,0.3,0.29,904.42M,3.45%,0
04/13/2009,0.29,0.3,0.3,0.28,767.75M,-3.33%,0
04/14/2009,0.29,0.29,0.3,0.29,712.35M,0.00%,0
04/15/2009,0.28,0.28,0.29,0.27,1.05B,-3.45%,1
04/16/2009,0.29,0.29,0.3,0.28,1.04B,3.57%,0
04/17/2009,0.29,0.29,0.3,0.28,695.79M,0.00%,0
04/20/2009,0.28,0.28,0.29,0.27,590.66M,-3.45%,0
04/21/2009,0.28,0.27,0.29,0.27,932.19M,0.00%,0
04/22/2009,0.28,0.27,0.3,0.27,916.43M,0.00%,1
04/23/2009,0.28,0.29,0.29,0.27,754.16M,0.00%,0
04/24/2009,0.29,0.28,0.29,0.28,759.52M,3.57%,0
04/27/2009,0.28,0.28,0.29,0.27,787.10M,-3.45%,0
04/28/2009,0.28,0.27,0.28,0.27,634.50M,0.00%,1
04/29/2009,0.27,0.28,0.28,0.27,859.90M,-3.57%,1
04/30/2009,0.29,0.28,0.29,0.28,1.11B,7.41%,1
05-01-09,0.29,0.29,0.3,0.29,840.65M,0.00%,0
05-04-09,0.31,0.3,0.31,0.29,927.79M,6.90%,0
05-05-09,0.29,0.3,0.3,0.29,837.21M,-6.45%,0
05-06-09,0.29,0.3,0.3,0.28,935.09M,0.00%,0
05-07-09,0.27,0.3,0.3,0.26,1.29B,-6.90%,0
05-08-09,0.23,0.26,0.26,0.23,2.93B,-14.81%,0
05-11-09,0.24,0.23,0.24,0.23,1.04B,4.35%,0
05-12-09,0.22,0.24,0.24,0.22,1.20B,-8.33%,0
05/13/2009,0.21,0.22,0.22,0.21,1.31B,-4.55%,1
05/14/2009,0.21,0.21,0.22,0.21,1.02B,0.00%,1
05/15/2009,0.22,0.21,0.23,0.21,780.31M,4.76%,1
05/18/2009,0.23,0.22,0.23,0.22,938.60M,4.55%,1
05/19/2009,0.24,0.23,0.24,0.23,860.06M,4.35%,0
05/20/2009,0.24,0.24,0.26,0.24,1.31B,0.00%,1
05/21/2009,0.24,0.24,0.24,0.23,965.71M,0.00%,1
05/22/2009,0.25,0.24,0.25,0.24,718.27M,4.17%,1
05/26/2009,0.26,0.24,0.26,0.24,865.54M,4.00%,0
05/27/2009,0.26,0.26,0.27,0.26,814.22M,0.00%,0
05/28/2009,0.26,0.26,0.27,0.25,995.30M,0.00%,1
05/29/2009,0.26,0.26,0.26,0.25,834.41M,0.00%,1
06-01-09,0.27,0.26,0.28,0.26,1.02B,3.85%,0
06-02-09,0.27,0.27,0.28,0.27,907.98M,0.00%,0
06-03-09,0.26,0.27,0.27,0.26,735.68M,-3.70%,1
06-04-09,0.27,0.26,0.27,0.26,673.26M,3.85%,0
06-05-09,0.27,0.28,0.28,0.27,560.07M,0.00%,1
06-08-09,0.27,0.27,0.27,0.26,474.14M,0.00%,1
06-09-09,0.28,0.27,0.29,0.27,725.13M,3.70%,1
06-10-09,0.29,0.29,0.29,0.28,833.43M,3.57%,0
06-11-09,0.29,0.29,0.3,0.29,835.17M,0.00%,0
06-12-09,0.29,0.28,0.29,0.28,595.00M,0.00%,0
06/15/2009,0.28,0.28,0.29,0.28,445.25M,-3.45%,0
06/16/2009,0.28,0.28,0.29,0.27,594.92M,0.00%,0
06/17/2009,0.28,0.28,0.28,0.27,799.01M,0.00%,0
06/18/2009,0.28,0.28,0.29,0.27,566.54M,0.00%,0
06/19/2009,0.28,0.28,0.29,0.28,747.56M,0.00%,0
06/22/2009,0.26,0.28,0.28,0.26,574.86M,-7.14%,1
